,author_name,book_average_rating,book_title,genre_1,genre_2,num_ratings,num_reviews,pages,publish_date,score
125,Steven D. Levitt,3.95,Freakonomics: A Rogue Economist Explores the Hidden Side of Everything,Nonfiction,Economics,606757,14830,336,2005,8227
126,Steven D. Levitt,3.95,"Freakonomics: A Rogue Economist Explores the Hidden Side of Everything (Freakonomics, #1)",Nonfiction,Economics,606394,14824,320,2005,368
127,Carlos Ruiz Zafón,4.26,The Shadow of the Wind,Fiction,Historical,372155,28999,487,2001,337
131,James Frey,3.63,A Million Little Pieces,Nonfiction,Biography,199107,11215,432,2003,551
134,John Gray,3.54,"Men Are from Mars, Women Are from Venus",Nonfiction,Self Help,143159,4864,368,1992,2675
137,Michael   Lewis,4.26,Moneyball: The Art of Winning an Unfair Game,Nonfiction,Sports and Games,82431,4471,317,2003,892
139,Robert Greene,4.19,The 48 Laws of Power,Nonfiction,Business,53997,2852,452,1988,1015
146,William Shakespeare,4.54,The Riverside Shakespeare,Classics,Plays,4160,200,2057,1974,913
153,Elie Wiesel,4.31,Night,Nonfiction,Classics,838564,25394,120,1958,437
159,Mark Haddon,3.87,The Curious Incident of the Dog in the Night-Time,Fiction,Mystery,1030470,39784,226,2003,399
163,Beryl Markham,4.19,West with the Night,Nonfiction,Autobiography,25837,2651,294,1942,4935
167,Annie Proulx,3.93,Brokeback Mountain,Fiction,Short Stories,25521,1922,55,1997,1162
170,David    Allen,3.98,Getting Things Done: The Art of Stress-Free Productivity,Nonfiction,Business,102298,4247,267,2001,776
175,Jared Diamond,4.02,"Guns, Germs, and Steel: The Fates of Human Societies",History,Nonfiction,224573,9060,425,1997,1030
178,Jon Krakauer,3.97,Into the Wild,Nonfiction,Biography,763226,19237,207,1996,4357
181,Jack London,3.85,The Call of the Wild,Classics,Fiction,282533,8233,172,1903,758
184,Michel Foucault,4.04,"The History of Sexuality, Volume 1: An Introduction",Philosophy,Nonfiction,15654,644,176,1976,361
188,Jon Krakauer,4.14,Into Thin Air: A Personal Account of the Mount Everest Disaster,Nonfiction,Adventure,333867,11796,368,1997,675
189,Thomas L. Friedman,3.68,The World Is Flat: A Brief History of the Twenty-first Century,Nonfiction,History,91005,3456,616,2005,1794
198,Jared Diamond,3.71,Why Is Sex Fun? The Evolution of Human Sexuality (Science Masters),Science,Nonfiction,4585,302,176,1997,1206
199,Raymond Chandler,4.01,The Big Sleep,Mystery,Fiction,104018,4596,231,1939,1351
202,Daniel C. Dennett,3.89,Breaking the Spell: Religion as a Natural Phenomenon,Philosophy,Religion,10688,421,464,2006,1813
203,Ayn Rand,3.86,The Fountainhead,Fiction,Classics,274544,11040,704,1943,1388
204,Karen Joy Fowler,3.08,The Jane Austen Book Club,Fiction,Womens Fiction,60109,4136,288,2004,8097
209,John Perkins,3.85,Confessions of an Economic Hit Man,Nonfiction,Economics,29308,3227,303,2004,4576
210,Ernest Hemingway,3.75,The Old Man and the Sea,Classics,Fiction,681896,20193,132,1952,7920
218,Doris Kearns Goodwin,4.28,Team of Rivals: The Political Genius of Abraham Lincoln,History,Nonfiction,128380,6433,916,2005,473
220,David McCullough,4.05,John Adams,History,Biography,262510,5788,751,2001,969
222,Dan Millman,4.14,Way of the Peaceful Warrior: A Book That Changes Lives,Spirituality,Fiction,40691,1742,240,1980,14184
225,Lance Armstrong,3.72,It's Not about the Bike: My Journey Back to Life,Sports,Biography,36244,1969,294,1999,684
226,Truman Capote,4.21,The Complete Stories of Truman Capote,Short Stories,Fiction,4703,323,320,1993,1893
227,David R. Palmer,4.17,Emergence,Science Fiction,Apocalyptic,1686,170,291,1984,4930
228,Edith Wharton,3.89,The Ghost Stories of Edith Wharton,Short Stories,Horror,2964,246,303,1937,4225
229,David McCullough,4.23,The Great Bridge: The Epic Story of the Building of the Brooklyn Bridge,History,Nonfiction,11168,1170,608,1972,886
230,Jeffery Deaver,4.19,The Bone Collector,Mystery,Thriller,135785,2086,528,1997,578
233,Orhan Pamuk,3.84,My Name Is Red,Fiction,Historical,38508,3503,417,1998,1888
236,Kahlil Gibran,4.23,The Prophet,Poetry,Philosophy,186060,7475,127,1923,16658
238,Malcolm Gladwell,3.95,The Tipping Point: How Little Things Can Make a Big Difference,Nonfiction,Business,588098,11981,301,2000,1561
239,Clayton M. Christensen,3.98,The Innovator's Dilemma: The Revolutionary Book that Will Change the Way You Do Business,Business,Nonfiction,31028,872,286,1997,2016
241,Harper Lee,4.27,To Kill a Mockingbird,Classics,Fiction,3820921,81131,284,1960,7212
246,Tom Wolfe,3.84,The Bonfire of the Vanities,Fiction,Classics,61827,2514,690,1987,2652
252,Mark Kurlansky,3.73,Salt: A World History,History,Nonfiction,47651,3019,484,2002,2161
255,Kim Stanley Robinson,3.73,The Years of Rice and Salt,Fiction,Science Fiction,9813,1065,763,2002,2633
256,Howard Zinn,4.08,A People's History of the United States,History,Nonfiction,157851,4867,729,1980,1573
260,David Bodanis,4.09,E=mc²: A Biography of the World's Most Famous Equation,Science,Nonfiction,6711,378,337,2000,1311
261,Tite Kubo,4.22,"Bleach, Volume 01",Sequential Art,Fantasy,135567,1037,200,2002,2763
267,Mark Twain,4.28,The Complete Short Stories of Mark Twain,Classics,Short Stories,5867,175,848,1957,638
268,Frances Hodgson Burnett,4.13,The Secret Garden,Classics,Fiction,775523,15267,368,1911,8030
272,Frances Hodgson Burnett,4.19,A Little Princess,Classics,Fiction,249421,5972,242,1905,3968
273,Elizabeth von Arnim,3.96,The Enchanted April,Fiction,Classics,13183,1944,247,1922,2530
276,E.M. Forster,3.9,A Room with a View,Classics,Fiction,130962,4649,119,1908,8499
278,E.M. Forster,4.01,Maurice,Classics,Fiction,22646,1263,256,1971,1106
280,Sarah Vowell,3.98,Assassination Vacation,Nonfiction,History,36925,3626,258,2005,295
282,Alan Brennert,4.16,Moloka'i,Historical,Fiction,90863,8451,405,2003,954
285,Isabel Allende,3.97,The Stories of Eva Luna,Fiction,Short Stories,15168,620,352,1988,1371
286,Mark Kurlansky,3.79,1968: The Year That Rocked the World,History,Nonfiction,2204,276,480,2001,587
287,Douglas Coupland,3.73,Generation X: Tales for an Accelerated Culture,Fiction,Contemporary,24453,1017,192,1991,5726
288,Louis de Bernières,3.96,Corelli's Mandolin,Fiction,Historical,70140,2453,437,1994,1900
290,Louis de Bernières,4.05,The War of Don Emmanuel's Nether Parts,Fiction,Magical Realism,5276,320,368,1990,2953
291,Louis de Bernières,4.16,Birds Without Wings,Historical,Fiction,10461,1158,554,2004,494
292,Colleen McCullough,4.23,The Thorn Birds,Fiction,Historical,289878,5143,692,1977,3043
297,Mitch Albom,3.92,The Five People You Meet in Heaven,Fiction,Inspirational,513455,18370,196,2000,2262
298,Gwyn Hyman Rubio,3.69,Icy Sparks,Fiction,See top shelves…,37094,1217,320,1998,3821
300,Nicholas Sparks,3.95,Message in a Bottle,Romance,Fiction,203904,4035,342,1998,386
301,Marisha Pessl,3.71,Special Topics in Calamity Physics,Fiction,Mystery,36851,5058,514,2006,2228
302,Janet Evanovich,4.14,Twelve Sharp,Mystery,Fiction,84474,2104,432,2006,2521
303,Thomas L. Friedman,4.11,From Beirut to Jerusalem,History,Nonfiction,9352,747,608,1989,12604
305,Lois Lowry,4.12,The Giver,Young Adult,Fiction,1489892,59307,204,1993,681
306,John Banville,3.5,The Sea,Fiction,Cultural,21205,2131,195,2005,98
307,John Banville,3.71,The Book of Evidence,Fiction,Cultural,3694,359,220,1989,7069
308,Libba Bray,3.79,A Great and Terrible Beauty,Young Adult,Fantasy,192290,9411,403,2003,1243
315,Ann Patchett,3.94,Truth and Beauty,Autobiography,Nonfiction,31770,2852,257,2004,1856
316,Graham Greene,3.97,The Quiet American,Fiction,Classics,39701,2597,180,1955,13893
317,Zadie Smith,3.76,White Teeth,Fiction,Contemporary,104543,6315,448,2000,4310
318,Ian Fleming,3.74,Casino Royale,Fiction,Thriller,53779,3571,144,1953,1667
320,Ian Fleming,3.89,From Russia With Love,Fiction,Thriller,24685,1005,259,1957,1254
321,Jonathan Franzen,3.79,The Corrections,Fiction,Contemporary,142883,8754,653,2001,1551
322,P.D. James,3.99,Death of an Expert Witness,Mystery,Fiction,9025,324,306,1977,1578
327,Ruth Prawer Jhabvala,3.55,Heat and Dust,Fiction,Cultural,6505,326,190,1975,333
330,Nicole Krauss,3.92,The History of Love,Fiction,Historical,112571,10355,255,2005,58
333,Stephen Hawking,4.15,A Brief History of Time,Science,Nonfiction,229059,6814,212,1988,359
336,Ernest Hemingway,3.82,The Sun Also Rises,Classics,Fiction,331466,11124,189,1926,1933
338,Rachael Ray,3.67,Rachael Ray 365: No Repeats: A Year of Deliciously Different Dinners,Food and Drink,Food and Drink,25082,155,326,2005,136
339,Ina Garten,4.15,The Barefoot Contessa Cookbook,Food and Drink,Food and Drink,27102,170,256,1999,566
340,Dan Simmons,3.94,Olympos,Science Fiction,Fiction,14188,544,891,2005,118
341,E.L. Konigsburg,4.15,From the Mixed-Up Files of Mrs. Basil E. Frankweiler,Fiction,Childrens,159865,6160,178,1967,4528
345,Michael Chabon,4.17,The Amazing Adventures of Kavalier & Clay,Fiction,Historical,170143,10154,639,2000,7402
349,J.D. Salinger,4.19,Nine Stories,Short Stories,Fiction,123690,3844,198,1953,623
350,Viktor E. Frankl,4.35,Man's Search for Meaning,Nonfiction,Psychology,265930,14088,165,1946,2946
356,Tom Peters,3.91,In Search Of Excellence: Lessons from America's Best-Run Companies,Business,Nonfiction,11625,168,392,1982,1995
357,David Sedaris,4.09,Naked,Humor,Nonfiction,218270,5391,304,1997,554
358,David Sedaris,4.59,David Sedaris - 14 CD Boxed Set,Humor,Nonfiction,1781,74,14,2002,2940
359,Yann Martel,3.89,Life of Pi,Fiction,Fantasy,1170205,44965,460,2001,3115
364,Nick Hornby,3.19,How to Be Good,Fiction,Contemporary,47133,2766,305,2001,7369
366,Ruth Downie,3.73,Medicus,Historical,Mystery,6836,814,386,2006,954
369,Michael Herr,4.23,Dispatches,Nonfiction,History,14118,887,260,1977,3249
370,Anthony Shadid,4.11,Night Draws Near: Iraq's People in the Shadow of America's War,History,Nonfiction,701,68,507,2000,8162
371,Andrew X. Pham,3.95,Catfish and Mandala: A Two-Wheeled Voyage Through the Landscape and Memory of Vietnam,Travel,Nonfiction,4769,519,344,1999,1003
372,Loung Ung,4.33,First They Killed My Father: A Daughter of Cambodia Remembers,Nonfiction,Autobiography,25863,2435,238,2000,4082
375,John Steinbeck,4.36,East of Eden,Classics,Fiction,372904,16459,601,1952,1733
377,Atul Gawande,4.26,Complications: A Surgeon's Notes on an Imperfect Science,Nonfiction,Science,32552,2237,270,2002,3730
378,Sven Regener,3.86,Herr Lehmann,Fiction,European Literature,4204,119,286,2001,1263
379,E.L. Konigsburg,3.75,The View from Saturday,Young Adult,Fiction,41214,1970,176,1996,1790
380,Jonathan Safran Foer,3.98,Extremely Loud and Incredibly Close,Fiction,Contemporary,350911,22219,326,2005,197
383,Matt Ridley,4.03,Genome: the Autobiography of a Species in 23 Chapters,Science,Nonfiction,21396,851,344,1999,1935
384,Ernest Hemingway,4.04,A Moveable Feast,Classics,Nonfiction,101725,7099,192,1964,3978
385,F. Scott Fitzgerald,3.91,The Great Gatsby,Classics,Fiction,3204359,57872,180,1925,2388
390,John Irving,4.12,The Cider House Rules,Fiction,Historical,145206,3433,973,1985,5680
391,Noah Gordon,4.37,The Physician,Historical,Fiction,31789,1714,720,1986,455
392,Dava Sobel,3.96,Longitude: The True Story of a Lone Genius Who Solved the Greatest Scientific Problem of His Time,History,Nonfiction,48028,2249,192,1995,2441
394,Salman Rushdie,3.86,Shame,Fiction,Cultural,9591,483,287,1983,7464
397,Dale Carnegie,4.17,How to Win Friends and Influence People,Nonfiction,Self Help,418638,10610,288,1936,970
401,Dale Carnegie,4.11,How to Stop Worrying and Start Living,Self Help,Nonfiction,62953,1830,358,1944,2072
402,Spencer Johnson,3.77,Who Moved My Cheese?,Nonfiction,Business,303082,9665,96,1998,5632
404,W. Chan Kim,3.88,Blue Ocean Strategy: How to Create Uncontested Market Space and Make the Competition Irrelevant,Business,Nonfiction,41060,889,240,2004,2088
413,Haruki Murakami,4.14,Kafka on the Shore,Fiction,Magical Realism,238632,16408,467,2002,4479
415,Eric Carle,4.29,The Very Hungry Caterpillar,Childrens,Childrens,342961,6810,26,1969,263
419,Dave Eggers,4.16,What Is the What,Fiction,Cultural,69134,6976,475,2006,2732
420,Dave Eggers,3.68,A Heartbreaking Work of Staggering Genius,Fiction,Contemporary,158043,8972,485,2000,843
421,Malachy McCourt,3.34,A Monk Swimming,Nonfiction,Autobiography,3998,263,290,1998,4330
422,Geraldine Brooks,4.01,Year of Wonders,Historical,Fiction,118534,8777,358,2001,11492
423,Kurt Vonnegut,4.08,Breakfast of Champions,Fiction,Classics,201707,5955,303,1973,11291
424,Kurt Vonnegut,4.07,Slaughterhouse-Five,Classics,Fiction,993606,22870,275,1969,545
426,Anita Diamant,4.17,The Red Tent,Historical,Fiction,474666,18187,336,1997,3504
431,Ken Follett,4.3,The Pillars of the Earth,Historical,Fiction,564929,28550,973,1989,2855
435,Julia Child,4.17,My Life in France,Autobiography,Nonfiction,72127,6929,302,2006,3587
437,J.D. Salinger,3.8,The Catcher in the Rye,Classics,Fiction,2377206,50322,277,1951,421
441,Aldous Huxley,3.98,Brave New World,Classics,Fiction,1228623,24158,288,1932,4467
444,Aldous Huxley,3.86,Island,Fiction,Classics,19914,1224,354,1962,28634
445,Elspeth Huxley,4.12,The Flame Trees of Thika: Memories of an African Childhood,Cultural,Autobiography,4844,239,281,1959,451
446,Lauren Weisberger,3.73,The Devil Wears Prada,Womens Fiction,Fiction,732993,8549,432,2003,679
449,John Knowles,3.57,A Separate Peace,Classics,Fiction,175381,6471,208,1959,1782
452,Anna Quindlen,3.87,Black and Blue,Fiction,Contemporary,73975,1564,288,1998,10109
453,Kaye Gibbons,3.68,A Virtuous Woman,Fiction,Contemporary,22810,587,165,1989,3051
454,Alice Hoffman,3.68,Here on Earth,Fiction,Romance,42500,1516,336,1997,2358
455,Jacquelyn Mitchard,3.86,The Deep End of the Ocean,Fiction,Contemporary,111248,1164,464,1996,3651
456,Chris Bohjalian,3.98,Midwives,Fiction,Contemporary,143587,4122,384,1997,460
457,Lalita Tademy,4.05,Cane River,Historical,Fiction,43381,1957,522,2001,936
460,Billie Letts,4.01,Where the Heart Is,Fiction,Womens Fiction,220368,3425,376,1995,730
464,Christina Schwarz,3.74,Drowning Ruth,Fiction,Mystery,75273,2376,338,2000,7743
466,Ann-Marie MacDonald,3.95,Fall on Your Knees,Fiction,Historical,57666,2830,508,1996,1859
468,Pearl Cleage,3.71,What Looks Like Crazy on an Ordinary Day,Fiction,Cultural,19490,671,244,1997,525
469,Sue Miller,3.68,While I Was Gone,Fiction,Womens Fiction,55261,1227,304,1999,397
470,Melinda Haynes,3.68,Mother of Pearl,Fiction,Historical,18593,435,465,1999,746
471,Sheri Reynolds,3.81,The Rapture of Canaan,Fiction,Religion,31965,801,320,1995,747
473,Bret Lott,3.66,Jewel,Fiction,See top shelves…,34685,657,535,1991,2957
474,Mary McGarry Morris,3.7,Songs in Ordinary Time,Fiction,Historical,29522,567,740,1995,4342
475,Edwidge Danticat,3.87,"Breath, Eyes, Memory",Fiction,Historical,24916,1229,234,1994,2309
476,Elizabeth Berg,3.69,Open House,Fiction,Womens Fiction,52604,1589,272,2000,1020
477,Anita Shreve,3.51,The Pilot's Wife,Fiction,Womens Fiction,81794,4202,304,1998,3031
479,Maeve Binchy,3.89,Tara Road,Fiction,Womens Fiction,67924,1934,648,1998,3377
480,Ernest J. Gaines,3.94,A Lesson Before Dying,Fiction,Classics,45935,2863,256,1993,859
482,Toni Morrison,3.78,Paradise,Fiction,Classics,20438,870,318,1997,1136
483,Wally Lamb,3.86,She's Come Undone,Fiction,Contemporary,287253,9553,465,1992,670
485,Joyce Carol Oates,3.71,We Were the Mulvaneys,Fiction,Contemporary,85988,2760,454,1996,2124
487,Jane Hamilton,3.8,A Map of the World,Fiction,Contemporary,67009,1491,400,1992,482
488,Rohinton Mistry,4.35,A Fine Balance,Fiction,Cultural,113424,7948,603,1995,948
491,Bill Cosby,3.47,The Best Way to Play: A Little Bill Book,Childrens,Fiction,385,20,40,1997,374
492,Dinesh D'Souza,4.13,Ronald Reagan: How an Ordinary Man Became an Extraordinary Leader,Biography,History,1073,46,304,1997,382
493,Richard Ellmann,4.24,Oscar Wilde,Biography,Nonfiction,2970,137,736,1987,6192
497,John Steinbeck,4.07,Travels with Charley: In Search of America,Nonfiction,Travel,59615,4406,214,1962,2914
498,Don Rosa,4.66,The Life and Times of Scrooge McDuck,Sequential Art,Sequential Art,2978,199,266,1996,2538
500,Jean Shepherd,4.09,A Christmas Story,Holiday,Humor,3323,397,131,1983,1634
502,John Grisham,3.8,The Innocent Man: Murder and Injustice in a Small Town,Nonfiction,Crime,53369,4314,360,2006,17167
503,John Grisham,3.99,The Client,Fiction,Mystery,354084,2158,483,1993,668
504,John Grisham,3.69,A Painted House,Fiction,Mystery,69884,3707,384,2001,479
507,Kathleen Winsor,3.99,Forever Amber,Historical,Fiction,15598,1013,972,1944,2215
512,James D. Hornfischer,4.32,The Last Stand of the Tin Can Sailors: The Extraordinary World War II Story of the U.S. Navy's Finest Hour,History,Nonfiction,7396,417,528,2003,479
513,Roland H. Bainton,4.08,Here I Stand: A Life of Martin Luther,Biography,History,3181,296,336,1950,501
514,Ann Brashares,4.02,Sisterhood of the Traveling Pants / Second Summer of the Sisterhood / Girls in Pants,Young Adult,Fiction,1997,99,1040,2006,1823
515,Ann Brashares,3.79,The Second Summer of the Sisterhood,Young Adult,Fiction,83297,2337,448,2003,582
516,Miep Gies,4.27,Anne Frank Remembered: The Story of the Woman Who Helped to Hide the Frank Family,Nonfiction,History,51683,707,252,1987,5294
518,Nicholas Sparks,4.03,Dear John,Romance,Fiction,495183,11037,276,2006,6010
519,Robert Penn Warren,4.09,All the King's Men,Fiction,Classics,51163,2300,439,1946,3095
521,Richard Feynman,4.23,QED: The Strange Theory of Light and Matter,Science,Science,14022,417,158,1985,3425
522,Michael B. Oren,3.98,"Power, Faith, and Fantasy: America in the Middle East 1776 to the Present",History,Nonfiction,1627,248,832,2007,294
523,Kenneth Grahame,3.98,The Wind in the Willows,Classics,Fiction,158798,4938,240,1908,495
528,Anton Chekhov,4.36,Selected Stories,Short Stories,Fiction,29349,619,454,1900,813
530,Steven Pinker,4.08,The Blank Slate: The Modern Denial of Human Nature,Psychology,Science,18570,771,528,2002,5205
531,Steven Pinker,4.05,The Language Instinct: How the Mind Creates Language,Nonfiction,Science,15824,813,448,1994,821
536,Ann Patchett,3.93,Bel Canto,Fiction,Contemporary,219249,13458,352,2001,1096
539,V.S. Naipaul,3.77,A Bend in the River,Cultural,Classics,14067,815,326,1979,4452
540,V.S. Naipaul,3.82,A House for Mr Biswas,Fiction,Classics,16411,816,623,1961,2908
541,Pat Barker,4.03,Regeneration,Historical,Fiction,22422,1352,256,1991,1935
542,Rob Kidd,3.83,The Coming Storm,Adventure,Fantasy,1372,80,135,2006,1664
546,J.R.R. Tolkien,4.26,The Hobbit,Fantasy,Classics,2471782,42010,366,1937,4076
549,Pablo Neruda,4.46,The Essential Neruda: Selected Poems,Poetry,Classics,4994,202,200,1979,5305
551,Erich Maria Remarque,4.31,The Road Back,Classics,Fiction,3787,148,352,1931,1584
552,John Julius Norwich,3.85,The Middle Sea: A History of the Mediterranean,History,Nonfiction,792,73,588,2006,1717
554,Toni Morrison,3.8,Beloved,Fiction,Classics,273099,9068,324,1987,8440
555,Alan Paton,3.89,"Cry, the Beloved Country",Fiction,Classics,59251,3550,316,1948,2875
557,Primo Levi,4.3,Survival in Auschwitz,Nonfiction,History,37414,1459,187,1947,1145
560,Primo Levi,4.55,If This Is a Man / The Truce,Nonfiction,History,12450,621,419,1947,3125
567,J.M. Coetzee,3.84,Disgrace,Fiction,Cultural,72116,5258,220,1999,577
569,J.M. Coetzee,3.85,Life and Times of Michael K,Fiction,Cultural,13968,822,192,1983,1166
570,Sebastian Faulks,4.08,Birdsong,Historical,Fiction,61316,2831,483,1993,453
572,Wilfred Owen,4.33,The Collected Poems of Wilfred Owen,Poetry,War,4855,206,192,1918,17731
573,Cormac McCarthy,3.96,The Road,Fiction,Science Fiction,623895,41780,241,2006,2928
579,Diana Wynne Jones,4.3,Howl's Moving Castle,Fantasy,Young Adult,166719,11235,329,1986,1937
584,Allen Ginsberg,4.14,Howl and Other Poems,Poetry,Classics,83706,1439,56,1956,4153
586,Roald Dahl,4.22,The BFG,Childrens,Fantasy,306728,9021,195,1982,3134
588,Kazuo Ishiguro,3.81,Never Let Me Go,Fiction,Science Fiction,388177,26607,288,2005,500
597,Joseph J. Ellis,3.91,His Excellency: George Washington,History,Biography,31869,1192,320,2004,3720
599,Sylvia Plath,3.99,The Bell Jar,Classics,Fiction,500950,18819,216,1963,4083
604,James Frey,3.84,My Friend Leonard,Fiction,See top shelves…,38991,1658,416,2005,270
605,Patricia Cornwell,4.02,Postmortem,Mystery,Mystery,190059,2523,293,1990,925
607,Patricia Cornwell,4.04,From Potter's Field: Scarpetta 6,Mystery,Fiction,47896,751,416,1995,1159
608,Patricia Cornwell,3.44,Portrait of a Killer: Jack the Ripper - Case Closed,Nonfiction,Crime,30835,1426,383,2002,6287
609,Miguel Ruiz,4.14,The Four Agreements: A Practical Guide to Personal Freedom,Nonfiction,Self Help,141849,7905,168,1997,253
610,Candace Bushnell,3.4,Lipstick Jungle,Womens Fiction,Fiction,38246,974,496,2005,314
614,Karen Kingsbury,4.27,Divine,Christian Fiction,Christian,9525,470,355,2006,2578
615,Roald Dahl,4.1,Boy: Tales of Childhood,Nonfiction,Biography,47249,2362,176,1984,2453
